	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
net3_cond40	0.638319	0.3537157	0.6285351	0.6327959	0.0170705	0.6534513	0.5422676	0.655786	0.375537	0.0546916	0.5320065	0.0648347	0.3574597	0.349578	0.6774684	0.623813	0.0647457	0.4628521	0.544795	0.0554412	0.628221	0.3794982	0.584818	0.8336881	0.2585873	0.0016796	0.6587116	0.0458946	0.0162801	0.5864789	0.6686997	0.4402709	0.004308	0.5963855	0.2197864	0.4092122	0.0061101	0.6611521	0.6802891	0.2725842	0.2753628	0.0873896	0.210925	0.29306	0.3754558	0.1281613	0.5438699	0.6131974	0.244344	0.63813	0.1109039	0.6564693	0.1320063	0.676666	0.2917209	0.4326998	0.7514467	0.0628655	0.7396738	0.4099111	0.4196866	0.2806835	4e-06	0.3776672	0.2958898	0.4698701	0.6443031	0.0540366	0.0498983	0.3485551	0.4051257	0.5475032	0.4233844	0.4223781	0.6168298	0.0056151	0.5579921	0.2944968	0.1351337	0.6243046	0.3168947	0.3250448	0.6660766	0.0072503	0.3921557	0.4494004	0.2221674	0.4882545	0.2112528	0.0006046	0.340548	0.4652621	4.9e-06	0.0301466	0.1241368	0.4417737	0.63824	0.3998629	0.6116105	0.0037615
net3_cond41	0.6825643	0.1547243	0.6812805	0.6097202	0.6590991	0.6080494	0.1906613	0.6016679	0.2483408	0.1586193	0.60305	0.2648001	0.6516617	0.7283856	0.7025368	0.2136866	0.0301991	0.326338	0.4056447	0.0557116	0.5835657	0.5578536	0.0006577	0.708148	0.4929799	0.0341407	0.4764415	0.0339383	0.5054458	0.590017	0.4429099	1.86e-05	0.1122824	0.5951708	0.239919	0.3967269	0.142227	0.534113	0.6532908	0.0500579	0.6147223	0.1828583	0.2060112	0.4213808	0.0015022	0.1356536	0.6713895	0.6669836	0.1235207	0.5834908	0.1925522	0.652645	0.5535845	0.6028141	0.1361839	0.0238902	0.5106508	0.0656213	0.6047011	3.04e-05	0.1979068	0.2809895	3.56e-05	0.218686	0.7080744	0.445096	0.6204773	0.099119	0.457656	0.7476953	0.7436025	0.6568578	0.4061976	0.3700822	0.470468	0.0001085	0.5385012	0.2075296	0.0003663	0.6373309	0.5970084	0.193481	0.6291563	4.03e-05	0.1964152	0.4122787	0.0356365	0.2054608	0.1063012	0.0002442	0.0006092	0.3282462	0.0006516	0.0073002	0.3267212	0.0001445	0.1830993	0.6253996	0.6951741	2.54e-05
net3_cond42	0.7217028	0.5798849	0.2404361	0.630956	0.2677652	0.4178442	0.5702501	0.5416772	0.5402636	0.4042589	0.5969123	0.2777685	0.5765081	0.4666012	0.6111461	0.0004661	0.0529171	0.4324225	0.021177	0.1644345	0.4546582	0.5015495	0.2143222	0.1966013	0.1976276	0.2065126	0.6195657	0.060224	0.1263273	0.5777388	0.686435	0.6186443	0.344163	0.5711134	0.1560786	0.3597151	0.0002738	0.6421678	0.7311762	0.0269014	0.0435109	0.0930813	0.1755274	0.2047473	0.4039849	0.0002006	0.1466237	0.6735936	0.2953018	0.3929798	0.1274098	0.6656681	0.1615342	0.6038101	0.5296713	0.3633708	0.0007369	0.0558931	0.6228498	0.4942859	0.2250677	0.455373	0.1250602	0.5642741	0.2295679	0.3683947	0.0419608	0.2430254	0.0370817	0.5478182	0.6781015	0.6128802	0.2209125	0.4406091	0.3652667	0.0523568	0.2939386	0.2311491	0.0908279	0.6111154	0.4730919	0.504201	0.4989718	0.0563966	0.0969346	0.5683332	0.1665303	0.0048591	0.179899	0.0035824	0.4182602	0.6251459	0.1369097	0.2391318	0.1233459	0.508572	0.5914965	0.5669742	0.5162568	0.1071352
net3_cond43	0.6609392	0.5129264	0.5207399	0.6900765	0.7028278	0.6008187	0.2996709	0.611407	0.3489602	0.2471932	0.503298	0.2838051	0.3340815	0.2295428	0.5123226	0.2319737	0.1794468	0.1663811	0.6129942	0.1717401	0.4702583	0.7629504	0.5211959	0.5651692	0.6545098	0.102853	0.4168893	0.0218781	0.6997684	0.5639349	0.5038205	3.5e-05	0.2040467	0.6594161	0.0008741	0.5347528	0.0527734	0.2530341	0.6031125	0.4085184	0.5817895	0.1799041	0.093482	0.4282712	0.0001911	0.1802214	0.6656774	0.6235037	0.0369949	0.6349865	0.2285006	0.3563706	0.4434226	0.683916	0.5634101	0.0219049	0.5316144	0.0362415	0.7219244	0.054487	0.2800427	0.5709727	0.2842679	0.1742402	0.5676734	0.3572277	0.5001812	0.0624981	0.3224888	0.3349105	0.6488387	0.3764723	0.3661829	0.4501351	0.5253701	5.73e-05	0.5424633	0.3563001	0.0049664	0.657221	0.3599798	0.1118553	0.5834097	0.0003855	0.017763	0.4582986	0.0601292	0.5947654	0.4244016	0.0026595	0.0768531	0.2713649	0.0017788	0.04851	0.6730361	0.0700179	0.0002701	0.6634086	0.8260514	0.0101534
net3_cond44	0.6039967	0.5912709	0.4200272	0.6839999	0.5920341	0.6841062	0.1342407	0.5695441	0.5919594	0.1318151	0.6459018	0.2665321	0.5974256	0.6219757	0.7240553	0.4622378	0.2735862	0.3426463	0.6961818	0.1586791	0.6729945	0.2349141	0.5969122	0.6262058	0.1190466	0.0303682	0.4958066	0.0352855	0.3449179	0.586797	0.5130756	0.0602831	0.1757153	0.6476632	0.0029855	0.1978039	0.3541926	0.6866138	0.5532827	0.5934062	0.0031887	0.1436275	0.1561885	0.5492532	0.0479197	0.0158905	0.4374201	0.686142	0.2129996	0.6141796	0.0198768	0.6513545	0.3367157	0.6832481	0.3455978	0.3071653	0.5890244	0.0532608	0.2720489	0.2103292	0.4695171	0.3840936	0.2239447	0.3214158	0.6100403	0.2092675	0.3529678	0.0209155	0.0409991	0.2051944	0.5299427	0.6378784	0.5374723	0.4159217	0.4692001	0.1399226	0.4845312	0.068275	0.0364333	0.6652495	0.0568929	0.6296585	0.6235461	0.0060108	0.0062297	0.5184655	0.0223386	0.4676442	0.131603	0.0874461	0.2138836	0.4600635	0.1477404	0.0007381	0.2058381	0.2716293	0.6173579	0.4171492	0.5312454	0.0477687
net3_cond45	0.6085663	0.5196776	0.6088337	0.6055226	0.2975592	0.6051662	0.5490235	0.5037867	0.6156613	0.3989812	0.7168027	0.3946386	0.4539742	0.4674233	0.5510798	0.2494686	0.2255612	0.4105075	0.0252802	0.1792744	0.7526108	0.601276	0.7299631	0.0290308	0.0843179	0.035803	0.5391641	0.0092241	0.4680932	0.6288372	0.392609	0.5576512	0.1532704	0.368458	0.0002241	0.486932	0.0014039	0.732991	0.6733767	0.3518718	0.3468896	0.0277128	0.0970387	0.3258882	0.4951942	4.53e-05	0.4569766	0.6767197	0.3375681	0.6301337	0.0985066	0.6079847	0.108367	0.6400954	0.7045192	0.4123875	0.0009308	0.1217519	0.6730562	0.4471333	0.5545979	0.4566637	0.0003792	0.476126	0.1252141	0.2830839	0.3649824	0.0873537	0.0193552	0.3679375	0.5584008	0.6656472	0.6109846	0.573913	0.0636487	0.3746861	0.3997674	0.0358083	0.0053038	0.5691327	0.21733	0.2864664	0.681461	0.0859001	0.0007881	0.2754623	0.3379455	0.4015799	0.0483888	0.0457868	0.0003228	0.4813772	0.0234604	0.6906238	0.0991743	0.6040428	0.5771606	0.6631108	0.7388675	0.0177191
net3_cond46	0.726021	0.4649405	0.744568	0.6438694	0.4057545	0.7196805	0.3103358	0.6472821	0.3567741	0.2716095	0.5451069	0.3121119	0.6102544	0.5992714	0.6971887	0.1433127	0.254617	0.0303221	0.3645353	0.2226964	0.6444857	0.6468344	0.6064989	0.6805935	0.3725182	0.1370516	0.5673472	0.0087393	0.4138358	0.6560327	0.5326056	0.0001342	0.6444949	0.5399366	0.0012191	0.3965312	0.0664111	0.149646	0.4968178	0.4106581	0.2587448	0.2585127	0.1588193	0.5499975	1.14e-05	0.1055322	0.6778943	0.6995288	0.1922067	0.5858286	0.381393	0.7176116	0.4271676	0.6774212	0.1677967	0.0409989	0.6073511	0.031304	0.4130572	0.110491	0.5638968	0.7068401	0.4100682	0.1269578	0.4050251	0.2924495	0.6437071	0.05665	0.630786	0.1464138	0.5899569	0.6541328	0.3326941	0.4900656	0.2022139	0.1754658	0.5733652	0.3199948	0.2760016	0.6499363	0.1138243	0.4020233	0.5993867	0.0010454	0.0074974	0.4082606	0.0044873	0.1622373	0.3209684	0.0009666	0.0644087	0.3089252	0.0001935	0.025274	0.1929427	0.0271331	0.1455055	0.7106231	0.6387516	0.003635
net3_cond47	0.7458643	0.3712032	0.6131296	0.5775407	0.2450203	0.6545172	0.3558532	0.5841837	0.5194599	0.2840971	0.5268255	0.1297596	0.4769354	0.3474271	0.6443438	0.1206968	0.0448603	0.5508216	0.4922362	0.3379309	0.6157845	0.5152185	0.730602	0.6646245	0.2612175	0.0375945	0.6716609	0.0402633	0.4087246	0.6053374	0.6557926	0.6410269	0.0042091	0.6780689	0.0010321	0.5559455	0.2594426	0.5942302	0.6898336	0.5913277	0.5853884	0.0904084	0.3287744	0.2406087	0.5013761	0.1103978	0.6054448	0.5277571	0.5840799	0.3997677	0.0687455	0.6485404	0.3060993	0.739778	0.5504042	0.5422418	0.6188215	0.060497	0.3357222	0.3139445	0.4575998	0.6771379	0.0106334	0.3876975	0.5288679	0.1362834	0.4874954	0.0531112	0.0664036	0.1338002	0.5275304	0.6522055	0.3963079	0.6590428	0.5077553	0.0005135	0.57123	0.0476762	0.0003878	0.6286959	0.0630084	0.0837921	0.6244455	0.0163573	0.2124292	0.3773141	0.0199472	0.2306047	0.4383992	0.0109657	0.2755905	0.3897639	0.0986437	0.0007057	0.3871197	0.3889923	0.6760309	0.5881535	0.5517531	0.0032912
net3_cond48	0.5262821	0.6122664	0.3553901	0.6181479	0.4491341	0.5589068	0.5517843	0.4354655	0.5898	0.0052273	0.5679614	0.2143453	0.1709764	0.2747024	0.5929001	0.362163	0.2983116	0.0073427	0.1137629	0.2897762	0.6228742	0.7499611	0.0040535	0.5610808	0.5194156	0.1757119	0.6527598	0.0436523	0.0003673	0.8142042	0.6317135	0.1133472	0.6043398	0.3017924	0.0298965	0.1881121	0.0015201	0.6302354	0.690136	0.0258926	0.4450069	0.1126075	0.1210095	0.4268316	0.0805297	0.1369156	0.1385976	0.5805149	0.447741	0.6925732	0.1410431	0.686941	0.0150836	0.5985789	0.4537827	0.0083892	0.0494134	0.0278714	0.2300908	0.5637576	0.2309179	0.6054261	0.0019044	0.1440864	0.069783	0.5131855	0.4207429	0.1605123	0.0432188	0.5791661	0.5793517	0.548986	0.1828192	0.608205	0.0354014	0.0047232	0.3204192	0.2160046	0.1607234	0.6900018	0.428429	0.2113532	0.5939773	0.3044004	0.0572335	0.6595289	0.1441641	0.5231803	0.0634272	0.0621594	0.0082585	0.4382745	0.0216843	0.6112033	0.2940216	0.645122	0.1796645	0.7018976	0.6035344	0.2115689
net3_cond49	0.6314182	0.5649395	0.2395147	0.6483255	0.2268254	0.6355662	0.2347184	0.6076849	0.4678152	0.0307862	0.6143641	0.1885836	0.0239647	0.1993008	0.7567156	0.0715574	0.1566164	0.4518456	0.4259722	0.0955982	0.589622	0.4604431	0.5857658	0.7563266	0.1004508	0.0529178	0.6291556	0.0241201	0.2654958	0.5161332	0.6300528	0.4701001	0.0269391	0.7097989	0.3168454	0.4167306	0.0041729	0.4926643	0.7367716	0.3732376	0.0272227	0.0873489	0.2726017	0.2501522	0.5368935	0.1219384	0.4825929	0.4220285	0.3291308	0.5175575	0.2419144	0.5216007	0.2908626	0.5633332	0.402643	0.3185805	0.4955515	0.1052906	0.6611452	0.0848097	0.2190761	0.4849379	0.0018805	0.434569	0.6867588	0.5085595	0.6533241	0.0306287	0.3390392	0.3024632	0.7387738	0.6720589	0.4231571	0.6479024	0.6544026	0.0175973	0.4542827	0.1399572	0.0041015	0.6515629	0.1516683	0.2795522	0.6549184	0.0001059	0.1057574	0.1547077	0.1350672	0.3662697	0.21287	0.0146861	0.3672435	0.3620176	2.51e-05	0.0635749	0.0769788	0.1540534	0.6058445	0.6077871	0.7621197	0.0143997
net3_cond50	0.5452168	0.5713668	0.6749284	0.6166482	0.2890198	0.0135407	0.4381238	0.6051553	0.5869946	0.197717	0.4927266	0.2131628	0.2938941	0.2898367	0.6149645	0.1977346	0.1335175	0.616121	0.1275237	0.4802524	0.65639	0.6488304	0.6417028	0.4742129	0.3388387	0.3396515	0.6292868	0.0126411	0.3303415	0.5828084	0.2930093	0.6288739	0.4050576	0.6702971	0.0002988	0.4240604	0.0004905	0.7149568	0.6094941	0.3944467	0.2419453	0.0876806	0.4190582	0.4491773	0.4655934	0.1520431	0.0077117	0.2369135	0.4534334	0.1286239	0.0538368	0.5784149	0.2217764	0.5805769	0.5202388	0.3812933	0.2645945	0.0320855	0.4560592	0.3764402	0.2319867	0.4961326	0.0094222	0.422471	0.4909251	0.5213122	0.4054441	0.0733069	0.0329389	0.5032698	0.6810419	0.6079031	0.3483318	0.5545952	0.6319617	0.7251465	0.4819808	0.12527	0.3278418	0.6298861	0.0001517	0.264808	0.6861474	0.0348474	0.0549937	0.441309	0.002138	0.5733746	0.2125896	0.0012235	0.5402105	0.3415049	0.2622575	0.0038895	0.0047306	0.2732637	0.6160906	0.6058731	0.5908152	0.1123219
net3_cond51	0.5783887	0.4313444	0.4736684	0.5424864	0.5437197	0.5060384	0.2526978	0.6630515	0.3544066	0.2334896	0.6461901	0.2245779	0.1312418	0.3098251	0.5274028	0.1264185	0.2481577	0.2727288	0.7665485	0.1986595	0.731172	0.6511203	0.6767796	0.6270578	0.0845212	0.1195111	0.6226569	0.0547325	0.6707329	0.6161314	0.5031223	0.1455153	0.0812151	0.5480133	0.007092	0.5749398	0.3032048	0.3932016	0.7046226	0.2717765	0.4508024	0.0952443	0.2058552	0.4719809	0.00268	0.1690126	0.6712133	0.5623445	0.4087536	0.6491825	0.2635571	0.65725	0.4498657	0.6247544	0.1672953	0.2588649	0.6678399	0.0442831	0.6128532	0.1096114	0.2781011	0.7265865	0.0010956	0.374409	0.6121967	0.3378822	0.6649076	0.0171322	0.706191	0.428691	0.4403742	0.5888941	0.4810596	0.497621	0.6407913	0.3667795	0.7426563	0.2053128	0.3859614	0.5929334	0.2484262	0.1326935	0.5969477	0.0013796	0.0229807	0.3328197	0.0941331	0.3861046	0.0528173	0.0296784	0.27588	0.4314529	0.0005227	0.0200538	0.0105313	0.0231395	0.4501735	0.6458433	0.7546169	0.0009872
net3_cond52	0.7121798	0.4124614	0.3030527	0.5533204	0.6787703	0.6568387	0.1300188	0.7076064	0.3852576	0.3840139	0.6236261	0.2227319	0.0002238	6.59e-05	0.7126582	0.1386981	0.1628868	0.1995738	0.6770707	0.309351	0.3558229	0.4758764	0.726452	0.5869852	0.6301453	0.0279635	0.519333	0.0362617	0.419832	0.3855448	0.6923871	7.81e-05	0.1052469	0.6725258	0.001768	0.0728321	0.2254507	0.6525727	0.6192106	0.2090745	0.0145957	0.0574157	0.1878282	0.3431718	0.0007289	0.0635467	0.5993901	0.7183861	0.2048326	0.5402001	0.0620422	0.5992881	0.3490801	0.6305122	0.2521948	0.1171088	0.5550816	0.0910657	0.5718393	0.1924464	0.2362313	0.5167153	0.0923648	0.2040492	0.6449604	0.5241907	0.3940384	0.07746	0.414875	0.5388212	0.4831316	0.5994201	0.6188969	0.6277255	0.6645996	0.0198232	0.3516027	0.0822861	0.0684618	0.6195557	0.0050782	0.5457313	0.6596183	0.0011017	0.0475094	0.3119199	0.0914695	0.6952492	0.0424693	0.0075946	0.0034123	0.2826808	0.0521309	0.0451799	0.2100446	0.0090824	0.1790424	0.4657052	0.6746788	0.0142608
net3_cond53	0.5910212	0.5414232	0.7115555	0.6546467	0.5413706	0.6570708	0.3128859	0.6024292	0.3584706	0.1432712	0.6039681	0.2448396	0.5672802	0.6397516	0.6264785	0.3972669	0.3041293	0.510446	0.4723031	0.0795604	0.2961389	0.2333228	0.6433371	0.5761015	0.2216425	0.100344	0.643478	0.0371169	0.6175533	0.6212909	0.7639229	0.1113137	0.1799729	0.6444048	0.0007834	0.3512218	0.0001157	0.3694683	0.5149123	0.5444633	0.4033846	0.3343061	0.1618433	0.4684545	0.0796907	0.1428775	0.6255929	0.7544905	0.2922774	0.6386131	0.4064507	0.5448337	0.5377205	0.593093	0.078414	0.429884	0.6434154	0.0758707	0.5717154	0.0047671	0.3014338	0.6059502	0.2319536	0.1090569	0.6433633	0.2182933	0.6707035	0.0743194	0.2999815	0.2845758	0.7064255	0.6946793	0.4724058	0.284567	0.6146599	0.0016189	0.5992264	0.2349155	0.1137877	0.7940727	0.6563198	0.36318	0.5720774	0.0010601	0.0327409	0.2798831	0.0817564	0.2292762	0.2986023	0.0059023	0.0033298	0.2525006	0.0170907	0.0021799	0.01248	0.0762562	0.5331012	0.5115069	0.5516177	0.0139721
net3_cond54	0.6198549	0.5156396	0.6475073	0.4574118	0.4205419	0.5177809	0.2337564	0.6449553	0.4271107	0.3647703	0.6587045	0.1638555	0.6201314	0.6419427	0.5681657	0.2990704	0.2349119	0.0019634	0.401283	0.1838224	0.7320515	0.6516024	0.7075318	0.7045866	0.6435952	0.0784208	0.5591386	0.0087092	0.2292677	0.7662171	0.7799393	0.5334428	0.5918914	0.6645733	0.1769995	0.6404393	0.0006701	0.5195269	0.3770428	0.3917722	0.5267118	0.0156146	0.0544141	0.385383	0.4061622	0.0630745	0.2687448	0.6597724	0.4854919	0.5160647	0.3810662	0.6062367	0.3426613	0.5832873	0.4990408	0.0242943	0.5919316	0.0840214	0.642462	0.2802052	0.1430457	0.4447667	0.0707982	0.5943614	0.7499985	0.3719794	0.6310809	0.1235904	0.0440915	0.4040807	0.6343178	0.4057602	0.3939368	0.5541684	0.612725	0.1388906	0.6581082	0.1865655	0.2924099	0.6171437	0.5709038	0.2742872	0.5883588	0.0009908	0.0075568	0.3376295	0.3467427	0.0767294	0.2169581	0.0005862	0.0848346	0.332155	0.0011698	0.0515801	0.0335287	0.3117497	0.0004088	0.6749982	0.5286905	0.0166734
net3_cond55	0.7245452	0.4578575	0.7867578	0.6226693	0.6701245	0.5945621	0.3911764	0.5745363	0.554713	0.2852565	0.5053825	0.1131718	0.3522119	0.4082784	0.509652	0.2257281	0.3107181	0.2682727	0.5272536	0.2685527	0.4099843	0.528114	0.5017654	0.8311343	0.3194898	0.0475776	0.6276998	0.0315032	0.0679941	0.4235823	0.6934925	0.0001696	0.3527374	0.726072	0.0620395	0.4341955	9.6e-05	0.587729	0.662715	0.2128231	0.2719778	0.0465791	0.091666	0.2457172	1.9e-06	0.162373	0.5632842	0.6159995	0.4319118	0.7174453	0.0644181	0.5855421	0.2176912	0.6178217	0.5083676	0.2314335	0.5840584	0.1710551	0.5325704	0.0709044	0.3781575	0.4001796	0.2733453	0.4652652	0.3222544	0.5674894	0.3412649	0.0197243	0.1221981	0.4539274	0.5913606	0.6130371	0.4840298	0.4400828	0.1816112	0.251822	0.3863554	0.0592615	0.084546	0.6953804	0.484749	0.2961887	0.7062543	0.5216043	0.050143	0.3071036	0.1642164	0.5887354	0.165228	1.74e-05	0.1415018	0.4461647	0.226841	0.0821291	0.1918597	0.1321893	0.5161985	0.5518454	0.5580585	0.0294125
net3_cond56	0.6870317	0.5641409	0.6961508	0.6062731	0.5597454	0.7738461	0.441971	0.6697298	0.5125635	0.3844938	0.5212169	0.1601485	0.5637408	0.6295195	0.5645558	0.1660766	0.131739	0.5488369	0.6528525	0.0688778	0.6884126	0.4768969	0.6559834	0.7233849	0.16443	0.0041752	0.7097046	0.0371542	0.2185528	0.5932974	0.6686449	5.6e-05	0.0744003	0.6633425	0.2514801	0.3882464	0.0039646	0.7654707	0.6112666	0.323814	0.1886018	0.0661806	0.1350751	0.3589169	0.0665878	0.0889028	0.6785917	0.5587547	0.2109372	0.5762503	0.0984683	0.6182494	0.2936749	0.7209823	0.4896785	0.5797768	0.5941763	0.0140921	0.5441129	0.5763548	0.5088119	0.6120258	0.0025234	0.2706671	0.7483583	0.248242	0.5326504	0.1012916	0.0168952	0.311039	0.1982317	0.5610369	0.484265	0.5207176	0.6401384	0.0829993	0.3143878	0.0775536	0.3566408	0.7461409	0.2503563	0.340989	0.5832105	0.2095073	0.3033274	0.389452	0.1426334	0.237687	0.262603	0.0227361	0.0029636	0.3767854	0.0001144	0.0016699	0.5246106	0.2967222	0.6299494	0.4574469	0.4702763	0.0135318
net3_cond57	0.4998156	0.2554639	0.7128635	0.6231725	0.6078697	0.6673641	0.3401837	0.6356227	0.2912555	0.1142365	0.5072	0.1891672	0.66419	0.625468	0.6817962	0.2906516	0.0825453	0.0043087	0.4303805	0.0711722	0.6009685	0.5728679	0.5364087	0.5855781	0.4785386	0.0510434	0.5935456	0.027062	0.7464681	0.6005917	0.6272161	0.1720034	0.6220945	0.6914394	0.0104484	0.4931625	0.0020492	0.4011014	0.5722096	0.6039417	0.48511	0.0911214	0.3584675	0.4180148	0.3732758	0.1518265	0.4050074	0.5081528	0.2483318	0.6747692	0.4126302	0.5275136	0.6134937	0.58121	0.3686351	0.0077464	0.5066319	0.0641383	0.7460938	0.2421093	0.5371995	0.6625085	0.2069399	0.2485637	0.5122722	0.2841821	0.5809786	0.012422	0.3197635	0.1313869	0.6191613	0.3550825	0.4356844	0.3298493	0.689885	0.1345936	0.6309181	0.2593923	0.2468074	0.5537793	0.1271044	0.1681043	0.6038437	0.5871445	0.0084999	0.2796338	0.030119	0.3325723	0.2553764	8.9e-06	0.0759754	0.1814726	0.0003023	0.0125718	0.0139959	0.2304036	0.0041075	0.6505124	0.6579107	0.0002873
net3_cond58	0.687562	0.2171191	0.6402979	0.6201682	0.6514569	0.5503377	0.3081344	0.5020956	0.1187814	0.3731666	0.4973012	0.1864209	0.7453722	0.7460571	0.7340283	0.3440832	0.1394844	0.4288812	0.5731365	0.102091	0.7396224	0.0109278	0.5460615	0.4944074	0.4762773	0.1222524	0.6911115	0.0226895	0.5369846	0.38496	0.5067074	8.57e-05	0.0022947	0.5228451	0.0040541	0.5850686	0.1181985	0.4272686	0.7187145	0.5759974	0.3008742	0.2184169	0.1141841	0.241353	2.44e-05	0.0005764	0.3380814	0.7371513	0.3677307	0.5961645	0.4384575	0.7348881	0.7507205	0.674377	0.44968	0.3571495	0.7243107	0.1509722	0.662464	0.0002939	0.5369154	0.5185529	0.0036334	0.1007439	0.5162197	0.2107325	0.5679941	0.1032159	0.5137932	0.2800464	0.6605794	0.4812292	0.4761751	0.1616097	0.5770113	0.2003686	0.4687178	0.1911845	0.0038401	0.5844867	0.5834689	0.24219	0.5518429	0.0001477	0.012023	0.3577248	0.1399048	0.1641543	0.2501683	0.0014303	0.0098553	0.1531007	0.2145751	0.0079718	1e-07	0.0024215	0.592085	0.1877407	0.6391531	0.0026513
net3_cond59	0.5581688	0.6945219	0.5625505	0.6203266	0.6879654	0.5831153	0.3763749	0.7366009	0.2181952	0.1438022	0.4949803	0.1773104	0.6576339	0.4408515	0.6321578	0.2602819	0.2736751	0.0481548	0.5141096	0.0780253	0.3664885	0.6204188	0.6172582	0.5618865	0.4546266	0.0494297	0.5937696	0.0443584	0.4124031	0.601929	0.5765838	2.68e-05	0.5103749	0.5613013	0.0216273	0.4417738	0.0002061	0.3247711	0.5537673	0.4223185	0.0863095	0.174461	0.1819676	0.1881018	0.0007802	0.1332831	0.6075415	0.6985119	0.4998887	0.7214715	0.5539338	0.5263313	0.440568	0.5868932	0.4496601	0.0410909	0.5734625	0.0452921	0.4726757	0.0286107	0.2336566	0.698201	0.2246165	0.0862116	0.6238241	0.301056	0.3708905	0.0248943	0.5067559	0.3999686	0.5578446	0.5548829	0.50718	0.579157	0.5779538	0.1217973	0.2924989	0.2772255	0.0018772	0.5894252	0.5014831	0.3143906	0.5855513	0.0015319	0.0830357	0.2089302	0.0737011	0.5787643	0.2861341	0.0010596	0.0008141	0.3025277	0.0028956	0.0002239	0.3727142	0.0632004	0.0250924	0.6031241	0.6207303	0.03754
net3_cond60	0.6437044	0.2951791	0.5506191	0.5135086	0.3771004	0.6961792	0.2133255	0.5995102	0.3360483	0.2393415	0.5748469	0.1605512	0.5963444	0.5345171	0.6493076	0.2478903	0.2839463	0.1458389	0.634047	0.4710466	0.61236	0.0633925	0.4851787	0.6629517	0.4100184	0.0297326	0.6951756	0.0401264	0.4602298	0.476533	0.701388	0.3330137	0.1802661	0.5813721	0.0063028	0.4612529	0.2544983	0.3486233	0.5727727	0.3352584	0.2873722	0.2764011	0.5084985	0.4773763	0.3586059	0.1971217	0.5573171	0.3220465	0.4684541	0.2270377	0.2988174	0.5152974	0.4493914	0.5128135	0.022315	0.0951542	0.6902552	0.1170053	0.6644354	0.132876	0.378207	0.5873546	0.2469475	0.0881561	0.6397166	0.2890483	0.5766589	0.0074063	0.3208002	0.5945106	0.6129462	0.5301876	0.4878452	0.643204	0.592569	0.0001344	0.4265642	0.1087957	0.1342826	0.5377379	0.2497285	0.2768082	0.7639894	0.0006483	0.0570378	0.5229886	0.2729976	0.3200902	0.2271029	0.0013907	0.2968376	0.3584837	0.1324988	0.0317176	0.0648271	0.1558093	0.0412657	0.4594742	0.588711	0.0082486
net3_cond61	0.334779	0.1535414	0.3283136	0.6318409	0.256569	0.3270391	0.5772143	0.1517216	0.6154257	0.3621079	0.4588405	0.5643201	0.2365937	0.3022131	0.5234603	0.0694281	0.2018805	0.1886968	0.6402842	0.2205227	0.4954114	0.682715	0.6348032	0.5904789	0.2165559	0.3147783	0.5497871	0.0438463	0.2535177	0.3766749	0.4569947	0.3799283	0.4127071	0.12626	0.0286591	0.2086469	0.0441104	0.6184648	0.5333329	0.6321117	0.2229071	0.0556682	0.1572338	0.4915865	0.2709248	0.0037803	0.0828747	0.5618552	0.3349977	0.6334182	0.0880611	0.4968348	0.2658637	0.6074578	0.1095463	0.1857025	0.6494538	0.1237867	0.5121202	0.1435742	0.6008588	0.4948597	0.0410425	0.4603072	0.606851	0.2264835	0.7124127	0.0320597	0.2181916	0.207148	0.6338294	0.4823342	0.493836	0.5801401	0.6734406	0.0520508	0.148441	0.1275011	0.2399541	0.6480836	0.1449259	0.1765224	0.560422	0.0796431	0.0913647	0.4189085	0.0137341	0.5866393	0.1612661	0.1868682	0.3684684	0.6159868	0.0123699	0.0010573	0.0499516	0.1998978	0.5162548	0.6729854	0.5975664	0.2122079
